吖啶橙	adingcheng
蜗牛酶	woniumei
五倍子酸	wubeizisuan
污氮	wudan
污氮排放消音器	wudanpaifangxiaoyinqi
伍德合金	wudehejin
戊二胺	wueran
戊二醇	wuerchun
戊二醛	wuerquan
戊二酸	wuersuan
戊二酸酐	wuersuangan
五氟化磷	wufuhualin
五氟化铌	wufuhuani
五氟化砷	wufuhuashen
五氟化钽	wufuhuatan
无机硅胶	wujiguijiao
无机化学	wujihuaxue
戊基肉桂醛	wujirouguiquan
无机酸	wujisuan
无机物	wujiwu
无机盐	wujiyan
物理化学	wulihuaxue
物料衡算	wuliaohengsuan
五硫化二磷	wuliuhuaerlin
五氯苯酚	wulvbenfen
五氯苯酚钠	wulvbenfenna
五氯化磷	wulvhualin
五氯化钼	wulvhuamu
五氯化钨	wulvhuawu
无水醋酸钠	wushuicusuanna
无水高氯酸锂	wushuigaolvsuanli
无水肼	wushuijing
无水硫酸镁	wushuiliusuanmei
无水硫酸钠	wushuiliusuanna
五水硫酸铜	wushuiliusuantong
无水氯化钙	wushuilvhuagai
无水氯化铝	wushuilvhualv
无水氯化镁	wushuilvhuamei
无水芒硝	wushuimangxiao
无水柠檬酸	wushuiningmengsuan
无水硼砂	wushuipengsha
无水葡萄糖	wushuiputaotang
无水氢氟酸	wushuiqingfusuan
无水三氯化铁	wushuisanlvhuatie
无水石膏	wushuishigao
无水四硼酸钠	wushuisipengsuanna
无水碳酸钾	wushuitansuanjia
无水亚硫酸钠	wushuiyaliusuanna
无水乙醇	wushuiyichun
钨酸	wusuan
钨酸铵	wusuanan
钨酸钙	wusuangai
钨酸钠	wusuanna
五肽胃泌素	wutaiweimisu
乌头碱	wutoujian
乌头酸	wutousuan
戊烷	wuwan
戊烯	wuxi
五行学说	wuxingxueshuo
五溴化磷	wuxiuhualin
五溴化钽	wuxiuhuatan
五溴化钨	wuxiuhuawu
五氧化二钒	wuyanghuaerfan
五氧化二磷	wuyanghuaerlin
五氧化二铌	wuyanghuaerni
五氧化二砷	wuyanghuaershen
五氧化二钽	wuyanghuaertan
洗氨	xian
细胞分裂素	xibaofenliesu
细胞松弛素	xibaosongchisu
洗苯塔	xibenta
烯丙基	xibingji
稀醋酸	xicusuan
洗涤剂	xidiji
洗涤液	xidiye
洗涤液泵	xidiyebeng
吸附平衡	xifupingheng
细口瓶	xikouping
锡粒	xili
稀硫酸	xiliusuan
吸滤瓶	xilvping
洗气瓶	xiqiping
洗气装置	xiqizhuangzhi
吸热反应	xirefanying
稀溶液	xirongye
稀释热	xishire
吸收剂量	xishoujiliang
吸收瓶	xishouping
吸收塔	xishouta
吸收装置	xishouzhuangzhi
喜树碱	xishujian
洗水泵	xishuibeng
洗水槽	xishuicao
洗水桶	xishuitong
锡酸钡	xisuanbei
锡酸钾	xisuanjia
锡酸钠	xisuanna
细铁丝	xitiesi
系统分析	xitongfenxi
稀土金属	xitujinshu
稀土元素	xituyuansu
稀硝酸	xixiaosuan
细辛脑	xixinnao
稀盐酸	xiyansuan
吸液管	xiyeguan
吸引力	xiyinli
析因实验	xiyinshiyan
稀有气体	xiyouqiti
下部温度	xiabuwendu
下部液位	xiabuyewei
下段触媒层	xiaduanchumeiceng
下段换热器	xiaduanhuanreqi
下料斗	xialiaodou
苋菜红	xiancaihong
腺苷二磷酸	xianganerlinsuan
腺苷三磷酸酶	xiangansanlinsuanmei
纤维板	xianweiban
纤维结构	xianweijiegou
纤维素	xianweisu
纤维毯	xianweitan
香草香精	xiangcaoxiangjing
相对分子质量	xiangduifenzizhiliang
相对密度	xiangduimidu
相对原子质量	xiangduiyuanzizhiliang
相关系数	xiangguanxishu
橡胶配合	xiangjiaopeihe
香蕉香精	xiangjiaoxiangjing
香茅醇	xiangmaochun
香茅醛	xiangmaoquan
橡皮塞	xiangpisai
相平衡	xiangpingheng
香芹酮	xiangqintong
相图	xiangtu
香叶醇	xiangyechun
像质计	xiangzhiji
镶铸	xiangzhu
相转移催化剂	xiangzhuanyicuihuaji
消除反应	xiaochufanying
硝化反应	xiaohuafanying
硝化甘油	xiaohuaganyou
硝化作用	xiaohuazuoyong
硝基苯	xiaojiben
硝基苯酚	xiaojibenfen
硝基苯甲醇	xiaojibenjiachun
硝基苯甲醚	xiaojibenjiami
硝基苯甲酸	xiaojibenjiasuan
硝基化合物	xiaojihuahewu
硝基甲苯	xiaojijiaben
硝基甲烷	xiaojijiawan
硝基咪唑	xiaojimizuo
硝基清漆	xiaojiqingqi
硝基亚光漆	xiaojiyaguangqi
硝基吲唑	xiaojiyinzuo
硝普钠	xiaopuna
消石灰	xiaoshihui
小苏打	xiaosuda
硝酸	xiaosuan
硝酸铵	xiaosuanan
硝酸钯	xiaosuanba
硝酸钡	xiaosuanbei
硝酸铋	xiaosuanbi
硝酸钙	xiaosuangai
硝酸锆	xiaosuangao
硝酸高汞	xiaosuangaogong
硝酸铬	xiaosuange
硝酸镉	xiaosuange
硝酸汞	xiaosuangong
硝酸钴	xiaosuangu
硝酸钾	xiaosuanjia
硝酸镧	xiaosuanlan
硝酸锂	xiaosuanli
硝酸铝	xiaosuanlv
硝酸镁	xiaosuanmei
硝酸锰	xiaosuanmeng
硝酸钠	xiaosuanna
硝酸脲	xiaosuanniao
硝酸镍	xiaosuannie
硝酸铍	xiaosuanpi
硝酸铅	xiaosuanqian
硝酸铈	xiaosuanshi
硝酸锶	xiaosuansi
硝酸铁	xiaosuantie
硝酸铜	xiaosuantong
硝酸钍	xiaosuantu
硝酸锌	xiaosuanxin
硝酸亚汞	xiaosuanyagong
硝酸亚铁	xiaosuanyatie
硝酸盐	xiaosuanyan
硝酸银	xiaosuanyin
硝酸铀酰	xiaosuanyouxian
消旋卡多曲	xiaoxuankaduoqu
消旋山莨菪碱	xiaoxuanshanlangdangjian
消炎痛	xiaoyantong
缬氨酸	xieansuan
斜管沉淀池	xieguanchendianchi
锌白	xinbai
锌钡白	xinbeibai
锌粒	xinli
辛醛	xinquan
辛酸乙酯	xinsuanyizhi
辛酮	xintong
辛烷	xinwan
新戊二醇	xinwuerchun
辛烯	xinxi
鑫兴自动化	xinxingzidonghua
猩红酸	xinghongsuan
星形下料器	xingxingxialiaoqi
胸腺嘧啶核苷	xiongxianmidinghegan
溴苯甲酸	xiubenjiasuan
溴苯腈	xiubenjing
溴吡啶	xiubiding
溴丙胺太林	xiubingantailin
溴化铵	xiuhuaan
溴化钡	xiuhuabei
溴化钙	xiuhuagai
溴化镉	xiuhuage
溴化钾	xiuhuajia
溴化锂	xiuhuali
溴化镁	xiuhuamei
溴化锰	xiuhuameng
溴化钠	xiuhuana
溴化氢	xiuhuaqing
溴化锶	xiuhuasi
溴化铁	xiuhuatie
溴化铜	xiuhuatong
溴化物	xiuhuawu
溴化锌	xiuhuaxin
溴甲基吡啶	xiujiajibiding
溴甲烷	xiujiawan
溴氯海因	xiulvhaiyin
溴氯甲烷	xiulvjiawan
溴米索伐	xiumisuofa
溴萘酚	xiunaifen
溴尿嘧啶	xiuniaomiding
溴噻唑	xiusaizuo
溴素	xiusu
溴酸钾	xiusuanjia
溴酸钠	xiusuanna
溴乙烷	xiuyiwan
蓄电池	xudianchi
旭化成	xuhuacheng
旋风分离器	xuanfengfenliqi
旋转提升机	xuanzhuantishengji
旋转异构体	xuanzhuanyigouti
旋转圆盘电极	xuanzhuanyuanpandianji
旋转轴	xuanzhuanzhou
血卟啉	xuebulin
血管紧张素	xueguanjinzhangsu
血蓝蛋白	xuelandanbai
血糖试纸	xuetangshizhi
血纤维蛋白	xuexianweidanbai
循环槽	xunhuancao
循环过程	xunhuanguocheng
薰衣草油	xunyicaoyou
亚砜	yafeng
亚克力	yakeli
压力跃变	yaliyuebian
亚磷酸	yalinsuan
亚磷酸三甲酯	yalinsuansanjiazhi
亚硫酸	yaliusuan
亚硫酸铵	yaliusuanan
亚硫酸钡	yaliusuanbei
亚硫酸钙	yaliusuangai
亚硫酸酐	yaliusuangan
亚硫酸钠	yaliusuanna
亚硫酸氢钠	yaliusuanqingna
亚硫酸盐	yaliusuanyan
亚硫酰氯	yaliuxianlv
亚氯酸钠	yalvsuanna
亚氯酸盐	yalvsuanyan
亚麻酸	yamasuan
氩气	yaqi
亚砷酸	yashensuan
亚砷酸酐	yashensuangan
亚砷酸钾	yashensuanjia
亚砷酸钠	yashensuanna
压缩厂房	yasuochangfang
压缩功	yasuogong
亚铁氰化钾	yatieqinghuajia
亚铁氰化钠	yatieqinghuana
亚铁氰化铁	yatieqinghuatie
亚铁盐	yatieyan
亚稳离子	yawenlizi
亚稳相	yawenxiang
亚锡酸	yaxisuan
亚硒酸钠	yaxisuanna
亚硝基	yaxiaoji
亚硝酸钡	yaxiaosuanbei
亚硝酸钙	yaxiaosuangai
亚硝酸钾	yaxiaosuanjia
亚硝酸甲酯	yaxiaosuanjiazhi
亚硝酸钠	yaxiaosuanna
亚硝酸异戊酯	yaxiaosuanyiwuzhi
亚溴酸钠	yaxiusuanna
压延性	yayanxing
亚油酸	yayousuan
亚油酸乙酯	yayousuanyizhi
岩白菜素	yanbaicaisu
延胡索乙素	yanhusuoyisu
盐库	yanku
盐库房	yankufang
盐皮带	yanpidai
盐溶	yanrong
焰色反应	yansefanying
衍生物	yanshengwu
堰式流量计	yanshiliuliangji
盐酸	yansuan
盐酸阿霉素	yansuanameisu
盐酸阿糖胞苷	yansuanatangbaogan
盐酸安非他酮	yansuananfeitatong
盐酸氨溴索	yansuananxiusuo
盐酸半胱氨酸	yansuanbanguangansuan
盐酸吡格列酮	yansuanbigelietong
盐酸吡硫醇	yansuanbiliuchun
盐酸地尔硫卓	yansuandierliuzhuo
盐酸丁卡因	yansuandingkayin
盐酸二甲双胍	yansuanerjiashuanggua
烟酸甲酯	yansuanjiazhi
盐酸精氨酸	yansuanjingansuan
盐酸赖氨酸	yansuanlaiansuan
盐酸硫胺	yansuanliuan
盐酸洛美沙星	yansuanluomeishaxing
盐酸氯丙嗪	yansuanlvbingqin
盐酸麻黄碱	yansuanmahuangjian
盐酸纳洛酮	yansuannaluotong
盐酸萘甲唑啉	yansuannaijiazuolin
盐酸哌替啶	yansuanpaitiding
盐酸哌唑嗪	yansuanpaizuoqin
盐酸普萘洛尔	yansuanpunailuoer
盐酸强力霉素	yansuanqianglimeisu
盐酸舍曲林	yansuanshequlin
盐酸肾上腺酮	yansuanshenshangxiantong
盐酸四咪唑	yansuansimizuo
盐酸甜菜碱	yansuantiancaijian
盐酸吐根酚碱	yansuantugenfenjian
盐酸万古霉素	yansuanwangumeisu
盐酸西布曲明	yansuanxibuquming
盐酸小檗碱	yansuanxiaobojian
盐酸辛可宁	yansuanxinkening
烟酸乙酯	yansuanyizhi
盐酸罂粟碱	yansuanyingsujian
盐酸育亨宾	yansuanyuhengbin
盐析稠厚器	yanxichouhouqi
盐析结晶器	yanxijiejingqi
盐析桶	yanxitong
盐析轴流泵	yanxizhouliubeng
烟酰胺	yanxianan
盐效应	yanxiaoying
岩藻多糖	yanzaoduotang
岩藻糖	yanzaotang
胭脂虫红	yanzhichonghong
样本容量	yangbenrongliang
洋地黄毒苷	yangdihuangdugan
氧合作用	yanghezuoyong
氧化钯	yanghuaba
氧化丙烯	yanghuabingxi
氧化铂	yanghuabo
氧化淀粉	yanghuadianfen
氧化钙	yanghuagai
氧化镉	yanghuage
氧化铪	yanghuaha
氧化皓分析仪	yanghuahaofenxiyi
氧化还原树脂	yanghuahuanyuanshuzhi
氧化镓	yanghuajia
氧化酶纸片	yanghuameizhipian
氧化锰脱硫槽	yanghuamengtuoliucao
氧化铍	yanghuapi
氧化铁黑	yanghuatiehei
氧化铁黄	yanghuatiehuang
氧化铁棕	yanghuatiezong
氧化纤维素	yanghuaxianweisu
氧化锌	yanghuaxin
氧化锌脱硫槽	yanghuaxintuoliucao
氧化银	yanghuayin
阳离子	yanglizi
阳离子型表面活性剂	yanglizixingbiaomianhuoxingji
氧氯化锆	yanglvhuagao
氧氯化硒	yanglvhuaxi
氧茂甲醇	yangmaojiachun
羊毛甾醇	yangmaozaichun
氧气缓冲罐	yangqihuanchongguan
氧气压缩机	yangqiyasuoji
氧氰化汞	yangqinghuagong
杨氏模量	yangshimoliang
窑气分离器	yaoqifenliqi
窑气洗涤塔	yaoqixidita
液氨蒸发外冷器	yeanzhengfawailengqi
液氨贮罐	yeanzhuguan
液固比	yegubi
液固色谱法	yegusepufa
夜光粉	yeguangfen
叶绿素铜	yelvsutong
叶绿素铜钠	yelvsutongna
液体丁腈橡胶	yetidingjingxiangjiao
液体石蜡	yetishila
液位变送器	yeweibiansongqi
液相	yexiang
液相色谱法	yexiangsepufa
乙胺嘧啶	yianmiding
仪表工程师	yibiaogongchengshi
仪表工手册	yibiaogongshouce
异丙胺	yibingan
异丙苯	yibingben
异丙醇	yibingchun
异丙酚	yibingfen
异丙基	yibingji
异丙基甲苯	yibingjijiaben
异丙醚	yibingmi
异丙酯	yibingzhi
乙醇	yichun
乙醇胺	yichunan
乙醇钠	yichunna
乙醇酸甲酯	yichunsuanjiazhi
乙醇脱氢酶	yichuntuoqingmei
胰蛋白胨	yidanbaidong
异丁醇	yidingchun
异丁基	yidingji
异丁醛	yidingquan
异丁酸	yidingsuan
异丁烷	yidingwan
异丁烯	yidingxi
异丁烯酸	yidingxisuan
移动床反应器	yidongchuangfanyingqi
一段炉	yiduanlu
一段转换炉	yiduanzhuanhuanlu
乙二胺	yieran
乙二醇	yierchun
乙二醛	yierquan
乙二酸	yiersuan
铱粉	yifen
异佛尔酮	yifoertong
一氟化硫	yifuhualiu
一氟三氯甲烷	yifusanlvjiawan
乙基苯	yijiben
乙基蒽醌	yijienkun
乙基纤维素	yijixianweisu
一甲胺	yijiaan
异腈	yijing
异抗坏血酸	yikanghuaixuesuan
异抗坏血酸钠	yikanghuaixuesuanna
衣康酸	yikangsuan
仪控计量班	yikongjiliangban
仪控维修班	yikongweixiuban
异喹啉羧酸	yikuilinsuosuan
乙硫醇	yiliuchun
一氯醋酸	yilvcusuan
一氯代苯	yilvdaiben
一氯化硫	yilvhualiu
一氯化铊	yilvhuata
异麦芽糖	yimaiyatang
衣霉素	yimeisu
乙醚	yimi
乙萘酚	yinaifen
异氰酸苯酯	yiqingsuanbenzhi
异氰酸环己酯	yiqingsuanhuanjizhi
异氰酸酯	yiqingsuanzhi
乙醛	yiquan
乙醛酸	yiquansuan
乙炔基	yiqueji
异山梨醇	yishanlichun
一水柠檬酸	yishuiningmengsuan
乙酸	yisuan
乙酸铵	yisuanan
乙酸苄酯	yisuanbianzhi
乙酸丙酯	yisuanbingzhi
乙酸薄荷酯	yisuanbohezhi
乙酸丁酯	yisuandingzhi
乙酸酐	yisuangan
乙酸钴	yisuangu
乙酸钾	yisuanjia
乙酸甲酯	yisuanjiazhi
乙酸锰	yisuanmeng
乙酸钠	yisuanna
乙酸叔丁酯	yisuanshudingzhi
乙酸异丙酯	yisuanyibingzhi
乙酸异戊酯	yisuanyiwuzhi
乙酸乙酯	yisuanyizhi
乙酸正丁酯	yisuanzhengdingzhi
乙酸正戊酯	yisuanzhengwuzhi
依文思蓝	yiwensilan
异戊醇	yiwuchun
异戊二烯	yiwuerxi
异戊基	yiwuji
异戊酸	yiwusuan
异戊酸异戊酯	yiwusuanyiwuzhi
异戊酸乙酯	yiwusuanyizhi
异戊烷	yiwuwan
乙烯	yixi
乙烯基	yixiji
乙烯酮	yixitong
乙酰胺	yixianan
乙酰氨基酚	yixiananjifen
乙酰半乳糖胺	yixianbanrutangan
乙酰苯胺	yixianbenan
乙酰丙酸	yixianbingsuan
乙酰胆碱酯酶	yixiandanjianzhimei
乙酰磺胺酸钾	yixianhuangansuanjia
乙酰基	yixianji
乙酰唑胺	yixianzuoan
一效蒸发器	yixiaozhengfaqi
乙亚胺	yiyaan
异烟肼	yiyanjing
异烟酸	yiyansuan
一氧化氮	yiyanghuadan
一氧化二氮	yiyanghuaerdan
一氧化钴	yiyanghuagu
一氧化硅	yiyanghuagui
一氧化铅	yiyanghuaqian
一氧化钛	yiyanghuatai
一氧化碳	yiyanghuatan
医用酒精	yiyongjiujing
茚醇	yinchun
吲哒帕胺	yindapaan
吲哚	yinduo
吲哚丁酸	yinduodingsuan
吲哚乙酸	yinduoyisuan
引发剂	yinfaji
银汞合金	yingonghejin
阴极产物	yinjichanwu
阴极极化	yinjijihua
阴离子	yinlizi
银片	yinpian
隐品碱	yinpinjian
茚三酮	yinsantong
引压管	yinyaguan
阴阳二气	yinyangerqi
阴阳转子	yinyangzhuanzi
荧光薄层板	yingguangbocengban
荧光染料	yingguangranliao
萤石	yingshi
罂粟碱	yingsujian
硬脂酸	yingzhisuan
硬脂酸钙	yingzhisuangai
硬脂酸钾	yingzhisuanjia
硬脂酸铝	yingzhisuanlv
硬脂酸镁	yingzhisuanmei
硬脂酸钠	yingzhisuanna
硬脂酸铅	yingzhisuanqian
硬脂酸锌	yingzhisuanxin
硬脂酰胺	yingzhixianan
硬脂酰乳酸钙	yingzhixianrusuangai
诱导分解	youdaofenjie
油分	youfen
有机半导体	youjibandaoti
游离基	youliji
游离态	youlitai
油酸钾	yousuanjia
油酸钠	yousuanna
油酸乙酯	yousuanyizhi
有效数字	youxiaoshuzi
预胶化淀粉	yujiaohuadianfen
预聚合	yujuhe
鱼藤酮	yutengtong
原卟啉	yuanbulin
圆底烧瓶	yuandishaoping
原电池	yuandianchi
元反应	yuanfanying
原硅酸	yuanguisuan
原硫酸	yuanliusuan
原水箱	yuanshuixiang
原水增压泵	yuanshuizengyabeng
原水站	yuanshuizhan
元素质量守恒	yuansuzhiliangshouheng
元素周期表	yuansuzhouqibiao
月桂酸	yueguisuan
杂多糖	zaduotang
杂环化合物	zahuanhuahewu
再聚合	zaijuhe
再热蒸汽	zairezhengqi
再生度	zaishengdu
再生胶	zaishengjiao
再生塔	zaishengta
皂化反应	zaohuafanying
造气工序	zaoqigongxu
增稠剂	zengchouji
增感屏	zengganping
增塑剂	zengsuji
增塑作用	zengsuzuoyong
增粘树脂	zengzhanshuzhi
扎来普隆	zhalaipulong
轧制油	zhazhiyou
展开剂	zhankaiji
詹纳斯绿	zhannasilv
展青霉素	zhanqingmeisu
粘酸	zhansuan
樟脑磺酸钠	zhangnaohuangsuanna
樟脑酸	zhangnaosuan
着火点	zhaohuodian
折光率	zheguanglv
振动配分函数	zhendongpeifenhanshu
振静皮革	zhenjingpige
真空泵	zhenkongbeng
真空成型	zhenkongchengxing
真空分离器	zhenkongfenliqi
正丙胺	zhengbingan
正丙醇	zhengbingchun
正丁	zhengding
正丁烷	zhengdingwan
正丁酯	zhengdingzhi
蒸发池	zhengfachi
蒸发结晶	zhengfajiejing
蒸发皿	zhengfamin
正己酸	zhengjisuan
蒸馏釜	zhengliufu
蒸馏器	zhengliuqi
蒸馏尾气分离器	zhengliuweiqifenliqi
蒸汽流量	zhengqiliuliang
蒸气压下降	zhengqiyaxiajiang
正缬氨酸	zhengxieansuan
正则配分函数	zhengzepeifenhanshu
郑州锅炉	zhengzhouguolu
脂蛋白	zhidanbai
制动风机	zhidongfengji
脂肪酸	zhifangsuan
脂肪烃	zhifangting
酯化反应	zhihuafanying
置换反应	zhihuanfanying
酯交换	zhijiaohuan
直接黑	zhijiehei
直接加热	zhijiejiare
支链淀粉	zhiliandianfen
质量范围	zhiliangfanwei
质量分数	zhiliangfenshu
质量守恒定律	zhiliangshouhengdinglv
制氢站	zhiqingzhan
指示剂	zhishiji
止水夹	zhishuijia
植酸钙	zhisuangai
植酸钠	zhisuanna
植物胶	zhiwujiao
置信区间	zhixinqujian
止血素	zhixuesu
质子酸	zhizisuan
中保系统	zhongbaoxitong
中变废锅	zhongbianfeiguo
中变锅炉	zhongbianguolu
中变炉	zhongbianlu
中变气	zhongbianqi
中变气废热锅炉	zhongbianqifeireguolu
中部温度	zhongbuwendu
中部液位	zhongbuyewei
重大危险源区域	zhongdaweixianyuanquyu
重氮盐	zhongdanyan
中低变	zhongdibian
仲丁胺	zhongdingan
仲丁醇	zhongdingchun
中段触媒层	zhongduanchumeiceng
中段换热器	zhongduanhuanreqi
重钙	zhonggai
中铬黄	zhonggehuang
重铬酸	zhonggesuan
重铬酸铵	zhonggesuanan
重铬酸钾	zhonggesuanjia
重铬酸钠	zhonggesuanna
重铬酸盐	zhonggesuanyan
中化仪修楼	zhonghuayixiulou
重灰	zhonghui
重灰煅烧炉	zhonghuiduanshaolu
重灰凉碱机	zhonghuiliangjianji
重灰炉气	zhonghuiluqi
重灰炉气洗涤塔	zhonghuiluqixidita
重灰埋刮板提升机	zhonghuimaiguabantishengji
仲甲醛	zhongjiaquan
重碱带式输送机	zhongjiandaishishusongji
重碱离心机	zhongjianlixinji
重碱楼	zhongjianlou
重碱螺旋输送器	zhongjianluoxuanshusongqi
重碱皮带	zhongjianpidai
中间水箱	zhongjianshuixiang
重晶石	zhongjingshi
重晶石粉	zhongjingshifen
重碳酸钠	zhongtansuanna
中温变换炉	zhongwenbianhuanlu
仲钨酸铵	zhongwusuanan
中性树胶	zhongxingshujiao
中压蒸汽	zhongyazhengqi
中压蒸汽管	zhongyazhengqiguan
重质碱	zhongzhijian
中子活化分析	zhongzihuohuafenxi
中子源	zhongziyuan
轴承温度	zhouchengwendu
周环	zhouhuan
主催化剂	zhucuihuaji
猪胆粉	zhudanfen
主控楼	zhukonglou
贮水槽	zhushuicao
贮水桶	zhushuitong
转换废锅	zhuanhuanfeiguo
转换管	zhuanhuanguan
转换汽包	zhuanhuanqibao
转铁蛋白	zhuantiedanbai
锥形瓶	zhuixingping
自发发射	zifafashe
紫胶	zijiao
自洁式空气过滤器	zijieshikongqiguolvqi
紫色石蕊试液	ziseshiruishiye
自旋	zixuan
自由基	ziyouji
自由基聚合	ziyoujijuhe
综合回收塔	zonghehuishouta
棕榈酸	zonglvsuan
棕色瓶	zongseping
组氨酸盐酸盐	zuansuanyansuanyan
阻垢剂	zugouji
阻化剂	zuhuaji
组态工程师	zutaigongchengshi
最小残差法	zuixiaocanchafa
左旋糖酸	zuoxuantangsuan
