阿莫科国际石油公司	amokeguojishiyougongsi
油品里德蒸气压测定仪	youpinlidezhengqiyacedingyi
油品调合	youpintiaohe
油品蒸馏测定仪	youpinzhengliucedingyi
油气藏	youqicang
油气藏高度	youqicanggaodu
油气地质勘探	youqidizhikantan
油漆房	youqifang
油气分离	youqifenli
油气田	youqitian
油气田勘探	youqitiankantan
油气资	youqizi
油气资顺的资产搭配	youqizishundezichandapei
油气资源	youqiziyuan
油气资源开发规划	youqiziyuankaifaguihua
油气资源损益模型	youqiziyuansunyimoxing
油气资源优化	youqiziyuanyouhua
有枪身射孔枪	youqiangshenshekongqiang
油势分析	youshifenxi
油水界面的非活塞推进	youshuijiemiandefeihuosaituijin
油田设备	youtianshebei
有效排烃厚度	youxiaopaitinghoudu
有效渗透率	youxiaoshentoulv
油源层系	youyuancengxi
预白化	yubaihua
预测间隔	yucejiange
预测误差滤波器	yucewuchalvboqi
预精制	yujingzhi
雨淋	yulin
迂曲度	yuqudu
羽扇烷	yushanwan
预收石油收入税	yushoushiyoushourushui
预探	yutan
遇险手持红光信号	yuxianshouchihongguangxinhao
预压载舱	yuyazaicang
宇宙论	yuzhoulun
远道变弱效应	yuandaobianruoxiaoying
原地成酸体系	yuandichengsuantixi
远地点	yuandidian
远方参考站	yuanfangcankaozhan
圆弧法	yuanhufa
原料气压缩机	yuanliaoqiyasuoji
原料油	yuanliaoyou
原生孔隙	yuanshengkongxi
原生石油	yuanshengshiyou
原生悬浮物	yuanshengxuanfuwu
原生油气藏	yuanshengyouqicang
原始大洋裂谷盆地	yuanshidayangliegupendi
原始规	yuanshigui
原石油	yuanshiyou
元素对比	yuansuduibi
元素硫	yuansuliu
源拥有者	yuanyongyouzhe
原油	yuanyou
原油地质储量	yuanyoudizhichuliang
原油分析	yuanyoufenxi
原油乳化降粘剂	yuanyouruhuajiangnianji
原油抑泡剂	yuanyouyipaoji
原子量	yuanziliang
原子吸收	yuanzixishou
原子吸收分光光度计	yuanzixishoufenguangguangduji
原子吸收分析	yuanzixishoufenxi
原子吸收光谱	yuanzixishouguangpu
原子吸收光谱法	yuanzixishouguangpufa
原子吸收检测器	yuanzixishoujianceqi
月桂基硫醇	yueguijiliuchun
月桂烷硫酸酯	yueguiwanliusuanzhi
蕴藏量	yuncangliang
蕴含门	yunhanmen
运算器	yunsuanqi
运移的石油	yunyideshiyou
运移距离	yunyijuli
孕甾烷	yunzaiwan
造扣	zaokou
藻类体	zaoleiti
早期生产系统	zaoqishengchanxitong
造山运动	zaoshanyundong
噪声观测剖面	zaoshengguancepoumian
造斜点	zaoxiedian
造斜工具	zaoxiegongju
造斜率	zaoxielv
增溶参数	zengrongcanshu
憎水	zengshui
增塑剂	zengsuji
增斜	zengxie
增压泵	zengyabeng
增压风机	zengyafengji
增益道	zengyidao
增益恢复	zengyihuifu
渣油催化裂化	zhayoucuihualiehua
渣滓油泵	zhaziyoubeng
站间试压	zhanjianshiya
战略物资	zhanluewuzi
粘温系数	zhanwenxishu
障壁岛	zhangbidao
张力腿平台	zhanglituipingtai
张量阻抗	zhangliangzukang
张应力	zhangyingli
照相录制	zhaoxiangluzhi
照钻不议租赁	zhaozuanbuyizulin
折叠式井架	zhedieshijingjia
褶积	zheji
折射静校正量	zheshejingjiaozhengliang
折算油藏压力	zhesuanyoucangyali
震次	zhenci
诊断检测	zhenduanjiance
振幅	zhenfu
真接触角	zhenjiechujiao
真空泵油	zhenkongbengyou
真空除气器	zhenkongchuqiqi
真空封脂	zhenkongfengzhi
真空干燥器	zhenkongganzaoqi
真空消除器	zhenkongxiaochuqi
针入度比	zhenrudubi
真速度	zhensudu
震源组合	zhenyuanzuhe
真振幅保持	zhenzhenfubaochi
针状结晶石油焦	zhenzhuangjiejingshiyoujiao
正丙醇	zhengbingchun
正常浪基面	zhengchanglangjimian
正常时差	zhengchangshicha
正断层	zhengduanceng
蒸发塔	zhengfata
蒸发岩相	zhengfayanxiang
正交值	zhengjiaozhi
蒸汽窜槽	zhengqicuancao
蒸汽凝结速率	zhengqiningjiesulv
蒸汽驱	zhengqiqu
正燃法	zhengranfa
整体式基盘	zhengtishijipan
正洗	zhengxi
整形器	zhengxingqi
正注	zhengzhu
值班船	zhibanchuan
支撑剂	zhichengji
支承节	zhichengjie
制动功率	zhidonggonglv
直读粘度计	zhidunianduji
脂肪酸硫酸酯	zhifangsuanliusuanzhi
滞后效应	zhihouxiaoying
止回阀	zhihuifa
直接脱硫	zhijietuoliu
直接油气显示	zhijieyouqixianshi
质量流量计	zhiliangliuliangji
直馏汽油	zhiliuqiyou
直升机起落扇形区	zhishengjiqiluoshanxingqu
制图员	zhituyuan
制图圆规	zhituyuangui
制图者	zhituzhe
指纹化合物	zhiwenhuahewu
直线传播	zhixianchuanbo
滞油区	zhiyouqu
指重表	zhizhongbiao
指状沙坝	zhizhuangshaba
中等抗硫酸盐型	zhongdengkangliusuanyanxing
仲丁醇	zhongdingchun
中国海洋石油测井公司	zhongguohaiyangshiyoucejinggongsi
中国海洋石油总公司	zhongguohaiyangshiyouzonggongsi
中国石油化工总公司	zhongguoshiyouhuagongzonggongsi
中国石油天然气勘探开发公司	zhongguoshiyoutianranqikantankaifagongsi
中国石油天然气总公司	zhongguoshiyoutianranqizonggongsi
中国石油学会	zhongguoshiyouxuehui
中间基原油	zhongjianjiyuanyou
重力单位	zhonglidanwei
重力基点	zhonglijidian
重力校正	zhonglijiaozheng
重力式基础	zhonglishijichu
重力梯度	zhonglitidu
重力型试压工具	zhonglixingshiyagongju
重力异常	zhongliyichang
重力仪零点漂移	zhongliyilingdianpiaoyi
重砂矿物分析	zhongshakuangwufenxi
中心注水	zhongxinzhushui
中硬地层	zhongyingdiceng|zhongyingdeceng
重油	zhongyou
终止剂	zhongzhiji
重质原油	zhongzhiyuanyou
中子寿命测井	zhongzishoumingcejing
帚状前积结构	zhouzhuangqianjijiegou
注采比	zhucaibi
注采井数比	zhucaijingshubi
逐点激发地震剖面法	zhudianjifadizhenpoumianfa
主滚筒	zhuguntong
主河道	zhuhedao
主甲板	zhujiaban
逐渐消磨	zhujianxiaomo
逐渐消散	zhujianxiaosan
主流线	zhuliuxian
助凝剂	zhuningji
注汽采油工艺	zhuqicaiyougongyi
注气模块	zhuqimokuai
注气剖面	zhuqipoumian
注入流体	zhuruliuti
注入水缓蚀剂	zhurushuihuanshiji
注水保持压力	zhushuibaochiyali
注水泵	zhushuibeng
注水方式	zhushuifangshi
注水巷道	zhushuihangdao
注水井	zhushuijing
注水井动态	zhushuijingdongtai
注水井井距	zhushuijingjingju
注水井增注	zhushuijingzengzhu
注水压差	zhushuiyacha
注水站	zhushuizhan
注水周期	zhushuizhouqi
贮油罐	zhuyouguan
注蒸汽周期	zhuzhengqizhouqi
抓管机	zhuaguanji
转换边界	zhuanhuanbianjie
转盘主轴承	zhuanpanzhuzhoucheng
转盘最大转速	zhuanpanzuidazhuansu
转向剂	zhuanxiangji
桩帽	zhuangmao
装配部件清单	zhuangpeibujianqingdan
装配与测试	zhuangpeiyuceshi
装卸油泵	zhuangxieyoubeng
装油量	zhuangyouliang
准博士生	zhunboshisheng
着装程序	zhuozhuangchengxu
子波整形	zibozhengxing
自定中心振动筛	zidingzhongxinzhendongshai
自动程序设计机	zidongchengxushejiji
自动跟踪	zidonggenzong
自动跟踪控制	zidonggenzongkongzhi
自动关闭装置	zidongguanbizhuangzhi
自动焊接	zidonghanjie
自动计算装置	zidongjisuanzhuangzhi
自动基线漂移校正	zidongjixianpiaoyijiaozheng
自动井下重力仪	zidongjingxiazhongliyi
自动控制系统	zidongkongzhixitong
自动控制仪	zidongkongzhiyi
自动亮度调整	zidongliangdutiaozheng
自动频率控制	zidongpinlvkongzhi
自动起动器	zidongqidongqi
自动气象海洋浮标	zidongqixianghaiyangfubiao
自动调压阀	zidongtiaoyafa
自动增益控制	zidongzengyikongzhi
自动振幅控制	zidongzhenfukongzhi
自动装置与自动控制	zidongzhuangzhiyuzidongkongzhi
自动钻井水龙头	zidongzuanjingshuilongtou
自给式压力调节阀	zijishiyalitiaojiefa
自流水	ziliushui
自然测井	zirancejing
自然电位泥岩基线	zirandianweiniyanjixian
自然资源	ziranziyuan
自由液面修正值	ziyouyemianxiuzhengzhi
资源评价系统方法	ziyuanpingjiaxitongfangfa
纵荡	zongdang
综合回声测距与测深	zonghehuishengcejuyuceshen
总和校验	zonghejiaoyan
总机关	zongjiguan
总孔隙度	zongkongxidu
总滤失系数	zonglvshixishu
纵倾	zongqing
组分分析	zufenfenxi
组分模型	zufenmoxing
组合测井	zuhecejing
阻火器	zuhuoqi
组装与再循环	zuzhuangyuzaixunhuan
钻出	zuanchu
钻床	zuanchuang
钻杆	zuangan
钻杆摆动	zuanganbaidong
钻杆测试筛管	zuanganceshishaiguan
钻杆电测井	zuangandiancejing
钻杆吊卡	zuangandiaoka
钻杆公母接头	zuangangongmujietou
钻杆护箍	zuanganhugu
钻杆环空	zuanganhuankong
钻杆回收记录	zuanganhuishoujilu
钻杆夹持器	zuanganjiachiqi
钻杆检查	zuanganjiancha
钻杆校直装置	zuanganjiaozhizhuangzhi
钻杆接箍	zuanganjiegu
钻杆接头	zuanganjietou
钻杆接头螺纹	zuanganjietouluowen
钻杆拉力	zuanganlali
钻杆内孔	zuanganneikong
钻杆扭曲	zuanganniuqu
钻杆铣鞋	zuanganxixie
钻杆橡胶护箍	zuanganxiangjiaohugu
钻杆旋扣器	zuanganxuankouqi
钻机拆卸	zuanjichaixie
钻机驱动机组	zuanjiqudongjizu
钻进	zuanjin
钻井	zuanjing
钻井泵	zuanjingbeng
钻井泵功率	zuanjingbenggonglv
钻井参数传感装置	zuanjingcanshuchuanganzhuangzhi
钻井船监控摄象机	zuanjingchuanjiankongshexiangji
钻井打捞器	zuanjingdalaoqi
钻井地震相剖面图	zuanjingdizhenxiangpoumiantu
钻井队	zuanjingdui
钻井钢丝绳	zuanjinggangsisheng
钻井工程	zuanjinggongcheng
钻井工程模拟器	zuanjinggongchengmoniqi
钻井记录	zuanjingjilu
钻井监测仪	zuanjingjianceyi
钻井进尺	zuanjingjinchi
钻井井口装置	zuanjingjingkouzhuangzhi
钻井可控参数	zuanjingkekongcanshu
钻井理论	zuanjinglilun
钻井平台	zuanjingpingtai
钻井卡具	zuanjingqiaju
钻井设备	zuanjingshebei
钻井设计	zuanjingsheji
钻井数据处理	zuanjingshujuchuli
钻井液	zuanjingye
钻井液处理剂	zuanjingyechuliji
钻井液流变性	zuanjingyeliubianxing
钻井液密度显示器	zuanjingyemiduxianshiqi
钻井液絮凝剂	zuanjingyexuningji
钻井液增粘剂	zuanjingyezengnianji
钻井用管材	zuanjingyongguancai
钻井震击器	zuanjingzhenjiqi
钻具	zuanju
钻具解卡	zuanjujieka
钻入生产层	zuanrushengchanceng
钻时录井	zuanshilujing
钻水泥塞工具	zuanshuinisaigongju
钻速方程	zuansufangcheng
钻碎时间	zuansuishijian
钻台	zuantai
钻铤	zuanting
钻铤刚度	zuantinggangdu
钻铤环空	zuantinghuankong
钻铤内孔	zuantingneikong
钻铤提升短节	zuantingtishengduanjie
钻铤弯曲率	zuantingwanqulv
钻铤稳定器	zuantingwendingqi
钻铤应力减轻槽	zuantingyinglijianqingcao
钻头	zuantou
钻头导向器	zuantoudaoxiangqi
钻头给进	zuantougeijin
钻头截面积	zuantoujiemianji
钻头空转	zuantoukongzhuan
钻头泥包	zuantounibao
钻头泥包卡钻	zuantounibaokazuan
钻头切削刃	zuantouqiexiaoren
钻头水功率	zuantoushuigonglv
钻头特性	zuantoutexing
钻头体	zuantouti
钻头行程	zuantouxingcheng
钻头直径量规	zuantouzhijinglianggui
钻屑含量	zuanxiehanliang
钻压	zuanya
钻柱	zuanzhu
钻柱防喷阀	zuanzhufangpenfa
钻柱特性	zuanzhutexing
钻柱组合	zuanzhuzuhe
最大钩载	zuidagouzai
最大凸度曲线	zuidatuduquxian
最大钻井深度	zuidazuanjingshendu
最大钻头水功率工作方式	zuidazuantoushuigonglvgongzuofangshi
最低混相压力	zuidihunxiangyali
最小熵反褶积	zuixiaoshangfanzheji
最优泥浆排量	zuiyounijiangpailiang
坐底式钻井平台	zuodishizuanjingpingtai
作业吃水	zuoyechishui
作业平衡线评价	zuoyepinghengxianpingjia
作业条件	zuoyetiaojian
